Fecha,PRECIP,EVAP,TMAX,TMIN,DIAS,HOJAS
07/09/2017,0,5.7,18,11,404,24
08/09/2017,9,4.4,17,10,405,24
09/09/2017,3,3.5,20,11,406,24
10/09/2017,4,3.6,18,11,407,24
11/09/2017,0,0.9,18,5,408,24
12/09/2017,0,5.3,23,4,409,24
13/09/2017,18.5,4.3,23,3,410,24
14/09/2017,6,1.2,20,7,411,24
15/09/2017,0,3,22,10,412,24
16/09/2017,0,4,21,10,413,24
17/09/2017,0,2.2,25,10,414,24
18/09/2017,0,4.2,23,9,415,24
19/09/2017,0,3.1,24,8,416,24
20/09/2017,0,3.1,24,8,417,24
21/09/2017,0,1.9,24,9,418,24
22/09/2017,12,7.1,24,12,419,24
23/09/2017,23,5.8,22,9,420,24
24/09/2017,16.3,4.8,21,10,421,24
25/09/2017,6.5,4.8,21,12,422,24
26/09/2017,36,3.4,22,12,423,24
27/09/2017,0,0.4,18,12,424,24
28/09/2017,1.5,0.6,16,13,425,24
29/09/2017,0,2.8,18,12,426,24
30/09/2017,0,4.233,19,11,427,24
01/10/2017,0,2,21,10,428,24
02/10/2017,0,1.8,17,9,429,24
03/10/2017,0,2.1,18,10,430,24
04/10/2017,4,3,20,10,431,24
05/10/2017,0,3.1,19,11,432,24
06/10/2017,0,7.5,21,9,433,24
07/10/2017,0,4,19,5,434,24
08/10/2017,0,3.3,22,9,435,24
09/10/2017,5.5,4.7,23,9,436,24
10/10/2017,1.5,1.4,20,9,437,24
11/10/2017,0,2.5,18,9,438,24
12/10/2017,0,1.8,15,10,439,24
13/10/2017,0,4.7,20,10,440,24
14/10/2017,0,2.9,22,7,441,24
15/10/2017,0,0.4,22,7,442,24
16/10/2017,0,3.2,20,9,443,24
17/10/2017,0,5.2,20,8,444,24
18/10/2017,1,1.6,24,9,445,24
19/10/2017,0,3.1,25,7,446,24
20/10/2017,0,2.8,24,6,447,24
21/10/2017,0,2.2,23,3,448,24
22/10/2017,0,3.7,21,5,449,24
23/10/2017,0,6.7,17,5,450,24
24/10/2017,0,4,16,8,451,24
25/10/2017,0,3.8,16,6,452,24
26/10/2017,0,2.4,22,3,453,24
27/10/2017,0,5,24,4,454,24
28/10/2017,0,4.3,21,5,455,24
29/10/2017,0,1.4,20,7,456,24
30/10/2017,0,2.9,19,7,457,24
31/10/2017,0,4.233,19,8,458,24
01/11/2017,2.2,3.4,25,7,459,24
02/11/2017,0,5,25,8,460,24
03/11/2017,0,2.4,26,6,461,24
04/11/2017,0,3.2,24,4,462,24
05/11/2017,0,4.4,25,4,463,24
06/11/2017,0,4.8,26,3,464,24
07/11/2017,0,4.9,25,2,465,24
08/11/2017,0,6,26,4,466,24
09/11/2017,0,3.4,22,4,467,24
10/11/2017,0,1.6,20,5,468,24
11/11/2017,0,3.8,23,5,469,24
12/11/2017,0,6,23,5,470,24
13/11/2017,0,3.9,20,5,471,24
14/11/2017,0,2.4,22,6,472,24
