Fecha,PRECIP,EVAP,TMAX,TMIN
28/11/2018,1,1.7,17,8
29/11/2018,34,4.8,10,9
30/11/2018,3,4.233,12,9
01/04/2019,0,4.233,24,8
02/04/2019,0,4.233,24,10
03/04/2019,0,4.6,24,10
04/04/2019,0,4.6,25,7
05/04/2019,0,7,25,7
06/04/2019,0,6.8,24,11
07/04/2019,0,5.8,24,8
08/04/2019,0,2.4,23,9
09/04/2019,0,3.8,21,7
10/04/2019,0,7,26,4
11/04/2019,0,8.9,25,4
12/04/2019,0,10.2,25,9
13/04/2019,0,8.7,25,7
14/04/2019,0,4.6,25,6
15/04/2019,0,5,26,5
16/04/2019,0,8.4,25,5
17/04/2019,1.5,6.2,28,8
18/04/2019,0,5.6,28,11
19/04/2019,0,5.4,22,7
20/04/2019,0,5.8,25,5
21/04/2019,0,7.2,27,5
22/04/2019,0,6.5,28,5
23/04/2019,0,9.6,27,10
24/04/2019,0,7.8,26,11
25/04/2019,0,7.3,27,9
26/04/2019,8.2,6.1,25,7
27/04/2019,8,5.3,23,7
28/04/2019,0,4.5,23,8
29/04/2019,0,3.3,26,11
30/04/2019,3.3,4.233,28,10
01/05/2019,11,7.8,28,9
02/05/2019,1,5.5,26,11
03/05/2019,8,5.3,27,8
04/05/2019,2.5,3.5,24,10
05/05/2019,0,3.6,23,9
06/05/2019,0,8.4,24,11
07/05/2019,0,6.6,25,11
08/05/2019,0,11,25,12
09/05/2019,0,5.6,25,12
10/05/2019,0,8.2,25,11
11/05/2019,0,7.4,27,8
12/05/2019,0,5,25,9
13/05/2019,0,8.8,25,12
14/05/2019,0,7.4,27,11
15/05/2019,0,4.2,25,11
16/05/2019,17.5,5.7,24,12
17/05/2019,16.5,7.1,23,10
18/05/2019,1,3.4,23,10
19/05/2019,0,3.5,26,9
20/05/2019,0,7.6,26,8
21/05/2019,0,4.4,28,8
22/05/2019,0,7.8,28,10
23/05/2019,1.5,5.4,27,9
24/05/2019,0,5.5,25,10
25/05/2019,0,4.6,25,10
26/05/2019,0,8.4,27,8
27/05/2019,0,5.4,27,9
28/05/2019,0.5,3.6,26,11
29/05/2019,2.5,5.4,23,11
30/05/2019,0,6,12,2
31/05/2019,0,4.233,25,11
01/06/2019,0,3.6,22,8.392
02/06/2019,0,2.9,21,12
03/06/2019,30,2.3,18,12
04/06/2019,8.5,4.6,18,12
05/06/2019,0,3,20,13
06/06/2019,4.5,3.4,18,13
07/06/2019,23.5,4.2,23,12
08/06/2019,0,5.8,23,9
09/06/2019,0,6,25,9
10/06/2019,0,7.8,23,8
11/06/2019,0,5.9,23,7
12/06/2019,15.5,6.1,25,8
13/06/2019,11,5.6,22,11
14/06/2019,0,2,23,12
15/06/2019,0,3,23,11
16/06/2019,19.5,4.6,23,12
17/06/2019,4,2.7,22,11
18/06/2019,11.5,8.5,23,11
19/06/2019,1,5.1,24,10
